@relation Five_activities_data_with__50_window_size_without_overlapping

@attribute mean_x numeric
@attribute mean_y numeric
@attribute mean_z numeric
@attribute magnitude_mean numeric
@attribute std_x numeric
@attribute std_y numeric
@attribute std_z numeric
@attribute magnitude_std numeric
@attribute rms_x numeric
@attribute rms_y numeric
@attribute rms_z numeric
@attribute magnitude_rms numeric
@attribute min_x numeric
@attribute min_y numeric
@attribute min_z numeric
@attribute magnitude_min numeric
@attribute max_x numeric
@attribute max_y numeric
@attribute max_z numeric
@attribute magnitude_max numeric
@attribute median_x numeric
@attribute median_y numeric
@attribute median_z numeric
@attribute magnitude_median numeric
@attribute mad_x numeric
@attribute mad_y numeric
@attribute mad_z numeric
@attribute magnitude_mad numeric
@attribute corr_xy numeric
@attribute corr_yz numeric
@attribute corr_xz numeric
@attribute class {SITTING,STANDING,WALKING,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS}

@data
-4.73765,0.660341,-8.772527,9.993183,0.123725,0.047122,0.102725,0.054571,4.739266,0.66202,8.773128,9.993332,-4.92038,0.577789,-8.943131,9.823401,-4.563644,0.740601,-8.567246,10.208454,-4.76236,0.672363,-8.756394,9.996854,0.115367,0.04305,0.091839,0.035577,-0.748494,0.859234,-0.793271,SITTING
-4.675594,0.662879,-8.819359,10.004361,0.066891,0.017019,0.034256,0.01958,4.676073,0.663098,8.819426,10.00438,-4.877274,0.625671,-8.876099,9.962774,-4.60434,0.711868,-8.708511,10.051447,-4.657013,0.661591,-8.828217,10.005802,0.045738,0.012984,0.024554,0.015623,-0.643973,0.651108,-0.801601,SITTING
-4.612673,0.654212,-8.849431,10.000879,0.015606,0.01165,0.015634,0.014223,4.6127,0.654315,8.849444,10.00089,-4.657013,0.628067,-8.883286,9.972945,-4.587585,0.678345,-8.809067,10.04033,-4.611527,0.654404,-8.849762,10.001432,0.012401,0.00969,0.011524,0.01073,-0.381569,0.152588,-0.212197,SITTING
-4.616456,0.648514,-8.851583,10.00415,0.01181,0.009447,0.013084,0.011872,4.616471,0.648583,8.851593,10.004157,-4.652222,0.628067,-8.871307,9.966533,-4.594772,0.673553,-8.80188,10.027111,-4.613922,0.647217,-8.852158,10.006233,0.009753,0.007482,0.009912,0.009078,-0.013713,-0.022699,-0.18644,SITTING
-4.629145,0.64971,-8.84421,10.003574,0.012685,0.012085,0.01295,0.011646,4.629162,0.649823,8.84422,10.003581,-4.661804,0.613709,-8.871307,9.976002,-4.609131,0.678345,-8.813858,10.029019,-4.628281,0.649612,-8.844971,10.003064,0.01016,0.009399,0.01066,0.009263,-0.2769,0.12125,-0.229785,SITTING
-4.62493,0.646598,-8.846316,10.003278,0.00986,0.009904,0.012588,0.012991,4.624941,0.646674,8.846325,10.003286,-4.649826,0.623276,-8.871307,9.974549,-4.597153,0.668762,-8.811462,10.02964,-4.625885,0.644821,-8.844971,10.001809,0.007565,0.007972,0.009779,0.010637,-0.156003,-0.197944,0.1968,SITTING
-4.621915,0.647603,-8.847754,10.00322,0.010617,0.009782,0.011877,0.013135,4.621927,0.647677,8.847762,10.003229,-4.64505,0.630463,-8.871307,9.967883,-4.594772,0.671158,-8.818634,10.033909,-4.621094,0.646019,-8.847366,10.003949,0.00806,0.008076,0.009687,0.010456,-0.102938,-0.011497,0.357601,SITTING
-4.623352,0.64521,-8.845551,10.001782,0.010385,0.009793,0.013616,0.013687,4.623363,0.645285,8.845561,10.001791,-4.654617,0.628067,-8.873703,9.972113,-4.601944,0.668762,-8.816238,10.028131,-4.624687,0.644821,-8.847366,10.003428,0.008863,0.008185,0.01135,0.011433,-0.030979,0.082473,0.172443,SITTING
-4.674396,0.658138,-8.81725,10.002001,0.091808,0.034056,0.082151,0.057667,4.675297,0.659019,8.817633,10.002168,-4.973053,0.623276,-8.907227,9.730394,-4.597153,0.790878,-8.473877,10.106192,-4.633072,0.649612,-8.846169,10.008105,0.068559,0.021224,0.054799,0.031366,-0.448721,0.507271,-0.588224,SITTING
-4.968931,0.722447,-8.638548,9.992439,0.090691,0.028857,0.100401,0.083726,4.969759,0.723023,8.639131,9.99279,-5.195709,0.666382,-8.950317,9.701733,-4.829392,0.824387,-8.253601,10.354721,-4.955086,0.720238,-8.655838,9.993541,0.076121,0.021388,0.068393,0.04349,-0.23975,0.092455,-0.324179,SITTING
