mean_x,mean_y,mean_z,magnitude_mean,std_x,std_y,std_z,magnitude_std,rms_x,rms_y,rms_z,magnitude_rms,min_x,min_y,min_z,magnitude_min,max_x,max_y,max_z,magnitude_max,median_x,median_y,median_z,magnitude_median,mad_x,mad_y,mad_z,magnitude_mad,corr_xy,corr_yz,corr_xz,class
-4.574127794,0.735950314,-8.86398501,10.00173354,0.009405288,0.010083127,0.012582508,0.01314643,4.574137464,0.736019385,8.86399394,10.00174218,-4.5995483,0.7142639,-8.895248,9.979019564,-4.558853,0.75975037,-8.842575,10.03131156,-4.5732117,0.7358093,-8.864136,9.999611104,0.007817449,0.008104542,0.00991689,0.010609367,-0.112232611,-0.233353851,0.258674298,SITTING
-4.567950448,0.734418335,-8.86566079,10.00028611,0.011894222,0.009470418,0.012703225,0.01237062,4.567965933,0.734479393,8.865669891,10.00029376,-4.5947723,0.7118683,-8.897644,9.971392123,-4.534912,0.75735474,-8.842575,10.02838497,-4.5684357,0.7358093,-8.866516,10.00186584,0.009710428,0.007383519,0.010758978,0.010374975,-0.025563095,-0.323542275,-0.074192806,SITTING
-4.56225159,0.741889039,-8.86652323,9.999035212,0.022104843,0.01828529,0.017742425,0.014342067,4.56230514,0.742114343,8.866540982,9.999045498,-4.6187134,0.6903229,-8.897644,9.965612346,-4.5205383,0.77890015,-8.825821,10.02646535,-4.5636445,0.7429962,-8.867714,9.998191063,0.018243406,0.013925854,0.01474703,0.011599441,0.279188267,0.096171916,-0.421729868,SITTING
-4.538405784,0.734226989,-8.87935671,9.998969708,0.010590103,0.008192412,0.012410491,0.011400675,4.53841814,0.734272692,8.879365383,9.998976208,-4.5636444,0.7142639,-8.907227,9.975506967,-4.50618,0.7525635,-8.852158,10.02891404,-4.53850555,0.7334137,-8.88089,9.999007353,0.007899784,0.006403073,0.009734802,0.008924626,-0.026490246,-0.110471138,-0.156414423,SITTING
-4.532898532,0.730873717,-8.87815972,9.995162008,0.008033381,0.010870699,0.013078864,0.012478011,4.532905651,0.730954556,8.878169354,9.995169797,-4.5516663,0.7142639,-8.90004,9.96907531,-4.5157623,0.75735474,-8.849762,10.02167127,-4.5325165,0.72862244,-8.878494,9.996980673,0.006575421,0.008949607,0.011020225,0.010551638,-0.013697631,-0.233455393,0.02863425,SITTING
-4.527390744,0.733795168,-8.88620387,10.0000286,0.011310562,0.011007185,0.01222953,0.012968017,4.527404872,0.733877719,8.886212285,10.00003701,-4.5516663,0.707077,-8.916809,9.964785554,-4.4846344,0.762146,-8.8593445,10.02913368,-4.5265273,0.7334137,-8.888077,10.00104734,0.007709944,0.008746943,0.00996574,0.009948455,-0.108882206,0.198957271,0.232550917,SITTING
-4.526625042,0.729199218,-8.88711364,10.00015498,0.011809281,0.011071754,0.014373477,0.014954773,4.526640446,0.729283267,8.887125263,10.00016616,-4.558853,0.7046814,-8.919189,9.963662101,-4.4965973,0.75735474,-8.856949,10.03789066,-4.527725,0.73101807,-8.888077,9.999362722,0.008903548,0.008885008,0.011434934,0.011752415,0.097747341,-0.013543513,0.232867702,SITTING
-4.525573104,0.727953493,-8.88802311,10.00040355,0.01458033,0.014883297,0.013395211,0.015012032,4.525596591,0.728105624,8.888033204,10.00041482,-4.570816,0.68074036,-8.921585,9.974289464,-4.4942017,0.75975037,-8.86174,10.03896441,-4.5253296,0.72742462,-8.888077,10.00033114,0.011194957,0.011397706,0.010969841,0.012086908,0.35947916,-0.275874453,0.234920524,SITTING
-4.54123107,0.736812747,-8.87619654,9.99764673,0.015216963,0.011353394,0.016030431,0.014661868,4.541256565,0.736900213,8.876211015,9.997657481,-4.5684357,0.69989014,-8.902435,9.961238872,-4.510971,0.762146,-8.833008,10.02488832,-4.542099,0.73820496,-8.878494,10.00024708,0.012266018,0.008683766,0.012637358,0.011274908,-0.006983001,0.115788429,-0.169330901,SITTING
-4.515277704,0.728384092,-8.8929074,10.0001124,0.011044444,0.009127908,0.010722157,0.012266571,4.515291211,0.728441284,8.892913864,10.00011992,-4.5373077,0.7046814,-8.926376,9.967522843,-4.4918213,0.7453766,-8.866516,10.02981419,-4.5157623,0.72862244,-8.892853,9.999359723,0.009020852,0.007165745,0.0080044,0.009520073,0.172855459,-0.043568602,0.366150485,SITTING
-4.510680542,0.724410092,-8.89448694,9.999157046,0.010333397,0.010220453,0.012931866,0.011987223,4.510692378,0.724482187,8.894496341,9.999164232,-4.5325165,0.70228577,-8.928772,9.974088491,-4.48703,0.7453766,-8.871307,10.02890903,-4.510971,0.7262268,-8.892853,9.997684973,0.008260543,0.008381725,0.009897215,0.009560374,0.186349699,0.074735975,-0.077978575,SITTING
-4.510632922,0.725129086,-8.89180725,9.996805616,0.011981204,0.011231651,0.00997657,0.010218497,4.510648834,0.725216065,8.891812847,9.996810839,-4.534912,0.69989014,-8.919189,9.980228168,-4.479843,0.75016785,-8.871307,10.03306064,-4.510971,0.7262268,-8.890472,9.995911371,0.009474755,0.009521107,0.00777711,0.007896867,0.087065653,0.01538496,-0.032742985,SITTING
-4.531318952,0.728671873,-8.88050507,9.996386028,0.016203165,0.015783109,0.015934358,0.014709944,4.531347922,0.728842785,8.880519366,9.996396851,-4.5732117,0.68074036,-8.909622,9.947673688,-4.4918213,0.75735474,-8.830612,10.0249921,-4.5325165,0.72862244,-8.88089,9.996931574,0.012928138,0.011931737,0.012481624,0.010777133,0.306319578,0.084237515,-0.151004912,SITTING
-4.518868996,0.723499453,-8.89195037,10.00054468,0.010868222,0.019379422,0.012310336,0.012699152,4.518882065,0.723758952,8.891958891,10.00055274,-4.5492706,0.683136,-8.914413,9.976552703,-4.4942017,0.7956543,-8.864136,10.02512307,-4.518158,0.72143555,-8.8916625,10.00067121,0.008338116,0.012182631,0.01000583,0.010033316,0.400086558,0.151322347,0.238972097,SITTING
-4.51527831,0.722255249,-8.89424863,10.00086128,0.008564442,0.009155607,0.013813215,0.013083237,4.515286432,0.722313277,8.894259356,10.00086984,-4.534912,0.69989014,-8.935959,9.976524985,-4.48703,0.73820496,-8.871307,10.040102,-4.5157623,0.72143555,-8.892853,10.00002329,0.00672163,0.007645706,0.011036006,0.010151741,0.08430612,-0.009169493,0.05395328,SITTING
-4.511255462,0.724504698,-8.89520503,10.00006003,0.010027764,0.01003362,0.012663709,0.012899456,4.511266607,0.724574172,8.895214044,10.00006835,-4.527725,0.6974945,-8.921585,9.972812387,-4.48703,0.75016785,-8.864136,10.03055287,-4.510971,0.7238312,-8.895248,10.00092861,0.007864164,0.007742872,0.009725006,0.01014901,0.091895654,-0.222858039,0.152631574,SITTING
-4.509963402,0.721488345,-8.8939608,9.998152038,0.010941936,0.008230561,0.012181083,0.012070545,4.509976675,0.72153529,8.893969142,9.998159325,-4.5397034,0.69989014,-8.921585,9.966747308,-4.4894257,0.7406006,-8.86174,10.0332031,-4.5085754,0.72143555,-8.892853,9.997054266,0.008260414,0.006275894,0.009763312,0.008976164,0.213269692,-0.24177164,0.016075615,SITTING
